Metabolite,contrast,Genotype,estimate_log2,SE,df,t_ratio,raw_p,label1,label2,Direction,p_adj_BH_global
Glycerol,Female - Male,4s2-,-0.18476401991840477,0.13740665507267535,15,-1.3446511729776245,0.19871945680947847,Female,Male,Male > Female,0.571254389616739
Glycerol,Female - Male,4s2M,0.10028100891789618,0.1505214490692719,15,0.6662240467253645,0.5153843552906574,Female,Male,Female > Male,0.8603859003080148
Glycerophosphocholine,Female - Male,4s2-,-1.0612590677890816,0.3282328122660739,15,-3.2332509978581845,0.005571245613857428,Female,Male,Male > Female,0.1097333637880563
Glycerophosphocholine,Female - Male,4s2M,-0.04945481521826256,0.3595610307829742,15,-0.13754220002810252,0.8924315214555036,Female,Male,Male > Female,0.9777183940268404
Guanidineacetic acid,Female - Male,4s2-,-0.50586689962722,0.19179128978659335,15,-2.637590581877307,0.0186478729380775,Female,Male,Male > Female,0.1700686011952668
Guanidineacetic acid,Female - Male,4s2M,-0.24212318687682727,0.2100968314982547,15,-1.1524361655060877,0.26717802157009435,Female,Male,Male > Female,0.6505469105045617
Guanidinosuccinic acid,Female - Male,4s2-,-0.3279959062190313,0.19248539620726302,15,-1.704004109827918,0.10900107525789267,Female,Male,Male > Female,0.46022676219999126
Guanidinosuccinic acid,Female - Male,4s2M,-0.07482185989262627,0.2108571869860746,15,-0.35484614473950865,0.727644598346128,Female,Male,Male > Female,0.9480169624166698
Guanine,Female - Male,4s2-,-0.6317079527772721,0.27591442553437817,15,-2.289506797456529,0.03696599191228864,Female,Male,Male > Female,0.2633826923750565
Guanine,Female - Male,4s2M,0.2019483911257158,0.30224910961251666,15,0.6681521457072731,0.5141869760241404,Female,Male,Female > Male,0.8603859003080148
Guanosine 5-monophosphate,Female - Male,4s2-,-1.3681394884468085,0.43965396682116825,15,-3.1118552127230257,0.0071421354066224865,Female,Male,Male > Female,0.11631477662213763
Guanosine 5-monophosphate,Female - Male,4s2M,0.1431423433403981,0.4816167902491635,15,0.29721211186666413,0.7703809012366577,Female,Male,Female > Male,0.9546024210975975
Hydrocortisone 21-acetate,Female - Male,4s2-,-0.1702201061745174,0.14575999769088765,15,-1.1678108457129792,0.2611109726985534,Female,Male,Male > Female,0.6471011062529366
Hydrocortisone 21-acetate,Female - Male,4s2M,-0.14556743382594842,0.1596720774344002,15,-0.9116649333115456,0.3763642072585963,Female,Male,Male > Female,0.7801003568632724
Hypoxanthine,Female - Male,4s2-,-0.5463499685311755,0.2981093593601947,15,-1.8327165899915292,0.0867685905162103,Female,Male,Male > Female,0.42091997101480744
Hypoxanthine,Female - Male,4s2M,0.4688988465598882,0.326562441449985,15,1.4358627540812985,0.1715673245036727,Female,Male,Female > Male,0.5527589425616366
Inosine 5-monophosphate (IMP),Female - Male,4s2-,-1.2967139832321046,0.7804297060899754,14,-1.6615384743986246,0.11882516702470163,Female,Male,Male > Female,0.4649466862432561
Inosine 5-monophosphate (IMP),Female - Male,4s2M,-0.15252720264806852,0.8226451416333678,14,-0.18541068916449768,0.8555662863844189,Female,Male,Male > Female,0.9754360847578736
Leucine,Female - Male,4s2-,-0.07094657419248786,0.2056548327153655,15,-0.3449788816326079,0.7348999366057503,Female,Male,Male > Female,0.9494427487016864
Leucine,Female - Male,4s2M,-0.02046011139274392,0.2252835818763142,15,-0.09081936296617028,0.9288378173278977,Female,Male,Male > Female,0.9830965645260357
Lumichrome,Female - Male,4s2-,0.0891543192041045,0.27286251907118686,15,0.3267371404016288,0.7483814416760023,Female,Male,Female > Male,0.9525101634634475
Lumichrome,Female - Male,4s2M,0.007626041024070815,0.29890591358594526,15,0.025513182166862946,0.9799819610405223,Female,Male,Female > Male,0.9842990621904806
Mannose,Female - Male,4s2-,-0.5058658973845848,0.16224563866275166,15,-3.1179013596543683,0.007054436144712504,Female,Male,Male > Female,0.11631477662213763
Mannose,Female - Male,4s2M,0.1280829661460121,0.1777311923048428,15,0.720655527513288,0.48220235510566534,Female,Male,Female > Male,0.8597683153311272
"N,N-Dimethyl-1,4-phenylenediamine",Female - Male,4s2-,0.01013114062535021,0.18915211402600182,15,0.05356081097754758,0.9579919168807066,Female,Male,Female > Male,0.9842990621904806
"N,N-Dimethyl-1,4-phenylenediamine",Female - Male,4s2M,0.015467659071656988,0.20720575930366106,15,0.07464878931762248,0.9414805947114664,Female,Male,Female > Male,0.9842990621904806
N-Acetylaspartic acid,Female - Male,4s2-,-0.3843156689610818,0.18443975771171212,15,-2.083692115675976,0.05470632928864023,Female,Male,Male > Female,0.321365274405451
N-Acetylaspartic acid,Female - Male,4s2M,-0.0420227542718532,0.2020436315989843,15,-0.20798851188370965,0.8380355625149932,Female,Male,Male > Female,0.9754360847578736
N-Acetylglucosamine,Female - Male,4s2-,-0.9224402687036848,0.2507190813652378,15,-3.6791785598476636,0.002232299212381063,Female,Male,Male > Female,0.1097333637880563
N-Acetylglucosamine,Female - Male,4s2M,0.19298021108064128,0.27464899292142775,15,0.7026430682593092,0.4930393746886832,Female,Male,Female > Male,0.8597683153311272
N-Acetylglutamic acid,Female - Male,4s2-,-0.09478844390579827,0.2381479915123688,15,-0.39802327663500453,0.6962204463440045,Female,Male,Male > Female,0.9282939284586726
N-Acetylglutamic acid,Female - Male,4s2M,-0.04211601907216303,0.26087805395174646,15,-0.16143948651178247,0.87390163876644,Female,Male,Male > Female,0.9777183940268404
N-Acetylphenylalanine,Female - Male,4s2-,-0.2384832583803456,0.36519507905001775,15,-0.6530297697348832,0.5236208781988094,Female,Male,Male > Female,0.8603859003080148
N-Acetylphenylalanine,Female - Male,4s2M,0.2139634970808366,0.4000511653711541,15,0.5348403294421813,0.600599475920806,Female,Male,Female > Male,0.9003842585877107
N-Acetylproline,Female - Male,4s2-,-0.2033801309631489,0.16293248887884282,14,-1.2482478624283648,0.2324132003540035,Female,Male,Male > Female,0.6021614736444636
N-Acetylproline,Female - Male,4s2M,-0.18084656451095532,0.17174592323239918,14,-1.0529889799261294,0.31018153910876567,Female,Male,Male > Female,0.6933469697725351
N-Acetylserine,Female - Male,4s2-,0.16175753098658047,0.3088880823947637,15,0.5236768273236644,0.6081542799232782,Female,Male,Female > Male,0.9003842585877107
N-Acetylserine,Female - Male,4s2M,-0.24863868680472145,0.3383699409442529,15,-0.7348131636955458,0.47378559434868717,Female,Male,Male > Female,0.8597683153311272
N-Acetylserotonin,Female - Male,4s2-,-0.42937235549205643,0.19238052273855846,15,-2.2318909907296876,0.04129832546522745,Female,Male,Male > Female,0.2847432367854159
