Lipids,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68
Cer(d19:1/24:1),1496,1043,52,1307,1050,1145,330,1349,1086,918,1225,1265,1251,667,589,686,521,1216,1168,984,1078,841,528,678,1019,1186,631,1047,1245,665,1116,1219,604,1176,792,1062,658,598,722,849,1049,680,882,839,1259,437,395,723,381,632,825,463,650,639,651,39,435,602,862,398,879,895,365,326,330,503,768,666
PE(P-15:0/22:6),1428,92,22,285,1743,203,138,687,1461,111,1387,1260,2116,402,879,159,164,657,600,330,616,1155,1580,474,1056,530,742,788,723,399,121,1815,310,1563,414,1048,127,778,560,1656,766,1952,2009,950,741,285,381,1841,642,38,1779,1147,534,76,1171,,857,1590,511,812,564,1218,754,245,224,380,243,1869
LPI(18:1) ,1424,843,4,1236,1586,761,611,1290,2070,1864,1648,1183,1556,1100,1741,1662,898,2158,2202,1212,1335,895,1013,1435,1047,1488,1203,1204,1634,641,1152,1935,1876,1457,787,729,1097,912,636,422,611,1409,928,1535,1511,539,701,956,698,635,1012,820,802,393,509,4,567,425,874,726,1169,768,527,780,480,577,398,874
Cer(d17:1/20:0),1372,1097,94,963,1166,1110,466,1547,959,504,1018,1148,1249,507,619,430,718,1138,1303,895,1013,915,1038,479,1167,566,418,798,1291,323,1008,1007,328,1063,619,1113,628,983,638,915,950,914,961,339,888,467,481,1087,395,583,983,644,568,818,705,54,762,593,1197,116,809,823,366,501,389,482,725,753
CE(17:0),1358,2788,7,788,2524,1647,46,3325,1608,411,1187,1414,1806,210,684,326,385,822,1355,514,463,2747,467,164,1221,1106,256,1176,946,25,662,14446,633,1395,4,1826,541,806,106,685,1956,1162,971,16,300,128,78,2134,212,183,1090,92,168,1635,555,44,1037,702,1543,76,2125,1789,170,75,143,145,1503,1078
PC(34:5),1350,365,28,284,950,536,440,990,559,1343,1405,994,810,660,1107,665,1818,551,1898,,622,825,350,,247,512,342,1559,175,586,1285,1167,203,1723,2799,1792,311,379,342,2839,1914,,1266,855,737,418,544,1244,870,491,750,,1403,633,726,20,378,1272,1643,379,613,1827,526,362,351,316,1488,539
DG(18:1_20:3),1223,1005,10,1254,1381,1066,23,1124,1803,1599,1179,1425,2093,123,1742,1450,494,2142,2109,1048,1327,92,1248,1925,77,1460,1115,1486,1365,645,1182,2091,651,228,652,807,87,63,519,1137,634,1015,941,182,157,537,388,64,643,100,759,611,623,70,389,11,865,682,1144,498,1401,760,685,555,433,772,670,162
AC(18:3),1198,338,16,93,919,180,652,481,644,592,340,441,185,524,435,1436,529,69,700,719,56,127,668,533,135,112,480,158,853,435,352,239,1081,267,642,969,1092,231,683,1127,233,763,84,909,236,503,936,248,601,252,273,41,883,32,344,5,516,19,102,686,527,166,333,472,1069,575,803,528
AC(20:5),1066,280,30,820,532,454,586,838,671,773,555,357,928,362,773,1188,810,700,696,816,781,361,474,897,478,550,859,522,455,598,551,1341,1180,449,749,543,1098,551,545,461,280,958,761,1131,880,1107,750,626,1331,833,672,373,1112,420,485,10,478,527,378,795,560,636,575,902,952,811,652,420
Cer(d17:1/23:0),1014,988,42,906,1006,950,772,1154,916,864,1001,1157,966,507,705,516,632,354,1420,922,969,767,812,332,702,624,576,756,927,590,1150,911,532,1006,648,699,445,850,575,791,1007,771,748,374,1023,535,482,600,630,223,802,386,422,595,618,12,334,488,607,282,867,774,337,531,383,209,581,576
CE(22:5),1014,5238,42,3425,5506,4789,1200,3426,10623,4078,8798,5616,5709,2353,15499,8840,9953,5451,626,3342,2358,3365,7954,1658,5259,3317,3847,5015,3687,1313,3011,81389,10849,5325,2097,7450,13894,7662,3494,6205,3722,4216,6552,5184,7589,2200,3496,3386,4656,7107,5734,4106,2516,3965,3666,37,2496,7315,29206,6115,13830,2609,10566,4698,3136,2015,1509,3856
PE(16:0_22:6),,5034597,493293,12894084,13307814,11873581,10638857,4891366,14164849,13816787,13377242,3924364,13046970,12892364,14317914,7516874,13536850,14317195,12097321,10028062,10681188,9332042,9934684,6961582,10143146,11288080,7363398,10935291,10966557,5750545,11651524,12348342,14074776,10507790,11552346,10462402,12134315,9281865,4688450,10440216,9859650,11170319,8560438,12515933,10981148,9381595,10330030,6078149,8893083,6275970,9700246,8026420,9810791,7997433,3562500,66277,4126295,8055808,8362611,9004549,8855041,9142133,7637239,5514401,9463893,8225710,8297162,8722770
