Subclass,contrast,estimate_log2,SE,df,t_ratio,p_adj,raw_p,label1,label2,adj_method,Direction,p_adj_BH_global
DG,(F 4s2-) - M 4s2M,0.13398002692343378,0.3958490535871689,15,0.33846241568424107,0.8876470197710881,0.73970584980924,(F 4s2-),M 4s2M,BH,(F 4s2-) > M 4s2M,0.9916131744224951
DG,(M 4s2-) - F 4s2M,0.3327628930323129,0.40562457628594223,15,0.820371625603213,0.8496995542546666,0.4248497771273333,(M 4s2-),F 4s2M,BH,(M 4s2-) > F 4s2M,0.9916131744224951
DG,(M 4s2-) - M 4s2M,0.4860121350385105,0.4683749166172333,15,1.0376561976218952,0.8496995542546666,0.3158690276978539,(M 4s2-),M 4s2M,BH,(M 4s2-) > M 4s2M,0.9916131744224951
DG,F 4s2M - M 4s2M,0.15324924200619758,0.40562457628594223,15,0.3778105444433564,0.8876470197710881,0.7108639434092954,F 4s2M,M 4s2M,BH,F 4s2M > M 4s2M,0.9916131744224951
FA,(F 4s2-) - (M 4s2-),-0.16111459683891818,0.34263439860024647,15,-0.47022306428401406,0.9849121744382925,0.6449596471712977,(F 4s2-),(M 4s2-),BH,(M 4s2-) > (F 4s2-),0.9916131744224951
FA,(F 4s2-) - F 4s2M,0.005311726271892359,0.27624068349484504,15,0.019228616888328404,0.9849121744382925,0.9849121744382925,(F 4s2-),F 4s2M,BH,(F 4s2-) > F 4s2M,0.9916131744224951
FA,(F 4s2-) - M 4s2M,-0.007192332764665771,0.34263439860024647,15,-0.02099127464740371,0.9849121744382925,0.9835293042285456,(F 4s2-),M 4s2M,BH,M 4s2M > (F 4s2-),0.9916131744224951
FA,(M 4s2-) - F 4s2M,0.16642632311081054,0.35109578131809016,15,0.4740197175995958,0.9849121744382925,0.6423120059860477,(M 4s2-),F 4s2M,BH,(M 4s2-) > F 4s2M,0.9916131744224951
FA,(M 4s2-) - M 4s2M,0.1539222640742524,0.4054104877106827,15,0.3796701583706871,0.9849121744382925,0.7095116757675459,(M 4s2-),M 4s2M,BH,(M 4s2-) > M 4s2M,0.9916131744224951
FA,F 4s2M - M 4s2M,-0.01250405903655813,0.35109578131809016,15,-0.03561438132242764,0.9849121744382925,0.9720594699978585,F 4s2M,M 4s2M,BH,M 4s2M > F 4s2M,0.9916131744224951
GM3,(F 4s2-) - (M 4s2-),-0.07148678787674134,0.27430821879177447,15,-0.2606075318910021,0.9065682009600954,0.7979388973048145,(F 4s2-),(M 4s2-),BH,(M 4s2-) > (F 4s2-),0.9916131744224951
GM3,(F 4s2-) - F 4s2M,0.026398651022489172,0.22115435623759572,15,0.11936753800195532,0.9065682009600954,0.9065682009600954,(F 4s2-),F 4s2M,BH,(F 4s2-) > F 4s2M,0.9916131744224951
GM3,(F 4s2-) - M 4s2M,0.15461505030687572,0.2743082187917744,15,0.5636544577041748,0.9065682009600954,0.5813188419238353,(F 4s2-),M 4s2M,BH,(F 4s2-) > M 4s2M,0.9916131744224951
GM3,(M 4s2-) - F 4s2M,0.09788543889923051,0.2810822812657386,15,0.348244786040741,0.9065682009600954,0.7324956066069169,(M 4s2-),F 4s2M,BH,(M 4s2-) > F 4s2M,0.9916131744224951
GM3,(M 4s2-) - M 4s2M,0.22610183818361707,0.3245658615064166,15,0.6966285275173559,0.9065682009600954,0.49668979103641164,(M 4s2-),M 4s2M,BH,(M 4s2-) > M 4s2M,0.9916131744224951
GM3,F 4s2M - M 4s2M,0.12821639928438655,0.2810822812657386,15,0.45615254973389524,0.9065682009600954,0.6548150212037513,F 4s2M,M 4s2M,BH,F 4s2M > M 4s2M,0.9916131744224951
Hex2Cer,(F 4s2-) - (M 4s2-),0.26664265014933175,0.2792136966667076,15,0.9549769704443201,0.8203305501715132,0.354727467347863,(F 4s2-),(M 4s2-),BH,(F 4s2-) > (M 4s2-),0.9916131744224951
Hex2Cer,(F 4s2-) - F 4s2M,-0.09153686921430386,0.22510927893822436,15,-0.406633034613486,0.8203305501715132,0.6900202513511935,(F 4s2-),F 4s2M,BH,F 4s2M > (F 4s2-),0.9916131744224951
Hex2Cer,(F 4s2-) - M 4s2M,0.06453697931093527,0.27921369666670753,15,0.2311383004536913,0.8203305501715132,0.8203305501715132,(F 4s2-),M 4s2M,BH,(F 4s2-) > M 4s2M,0.9916131744224951
Hex2Cer,(M 4s2-) - F 4s2M,-0.3581795193636356,0.28610890029253294,15,-1.2518992558337536,0.8203305501715132,0.2297768155023277,(M 4s2-),F 4s2M,BH,F 4s2M > (M 4s2-),0.9916131744224951
Hex2Cer,(M 4s2-) - M 4s2M,-0.20210567083839648,0.3303701012028834,15,-0.6117553316796107,0.8203305501715132,0.5498602566578887,(M 4s2-),M 4s2M,BH,M 4s2M > (M 4s2-),0.9916131744224951
Hex2Cer,F 4s2M - M 4s2M,0.15607384852523914,0.286108900292533,15,0.5455050449869295,0.8203305501715132,0.5934261712978129,F 4s2M,M 4s2M,BH,F 4s2M > M 4s2M,0.9916131744224951
