Subclass,term,df,sumsq,meansq,statistic,p.value,p_adj_BH,neglog10_p
DG,Sex:Genotype,1,0.26153629748233787,0.26153629748233787,0.7947919405926828,0.3867326120967085,0.9671134084747728,0.4125892035244186
DG,Residuals,15,4.935938906614506,0.3290625937743004,NA,NA,NA,NA
FA,Sex,1,0.03220056822029527,0.03220056822029527,0.13061177079955905,0.7228385391465809,0.9571769915157455,0.14095870047676415
FA,Genotype,1,0.013005496673192507,0.013005496673192507,0.05275282532259213,0.8214431251380083,0.962012105350647,0.08542250075454758
FA,Sex:Genotype,1,0.022623752725074997,0.022623752725074997,0.09176634354206745,0.7661041070233608,0.9671134084747728,0.11571220943580883
FA,Residuals,15,3.6980474297808055,0.24653649531872038,NA,NA,NA,NA
GM3,Sex,1,0.0027565687247435022,0.0027565687247435022,0.017445036785623126,0.8966766826397651,0.9571769915157455,0.04736412357500191
GM3,Genotype,1,0.03808046952703714,0.03808046952703714,0.24099351695821683,0.630593782618551,0.962012105350647,0.2002503155224091
GM3,Sex:Genotype,1,0.0408540791321248,0.0408540791321248,0.2585463975214301,0.618516765354961,0.9671134084747728,0.20864852400177078
GM3,Residuals,15,2.370217465246554,0.1580144976831036,NA,NA,NA,NA
Hex2Cer,Sex,1,0.1855008865909551,0.1855008865909551,1.1330609124885884,0.3039592366215061,0.9571769915157455,0.5171846548694329
Hex2Cer,Genotype,1,0.0758170217343217,0.0758170217343217,0.4630991549807847,0.5065481716105322,0.962012105350647,0.29537924789530484
Hex2Cer,Sex:Genotype,1,0.012523641841187594,0.012523641841187594,0.07649585569661735,0.7858781728000055,0.9671134084747728,0.10464477327544083
Hex2Cer,Residuals,15,2.4557490847980783,0.16371660565320523,NA,NA,NA,NA
HexCer,Sex,1,3.7756038004244097e-4,3.7756038004244097e-4,0.005236659856389022,0.9432677226227076,0.9571769915157455,0.025365026291355765
HexCer,Genotype,1,0.035634786378079264,0.035634786378079264,0.4942448021058507,0.4928078237797088,0.962012105350647,0.30732240596257737
HexCer,Sex:Genotype,1,0.004900422079981315,0.004900422079981315,0.06796752239394381,0.7978645118251352,0.9671134084747728,0.09807085145940553
HexCer,Residuals,15,1.081491992214644,0.07209946614764293,NA,NA,NA,NA
LPC,Sex,1,0.04205702241239773,0.04205702241239773,0.43399592201896925,0.5200198739710066,0.9571769915157455,0.28398005830557
LPC,Genotype,1,0.05837550205473141,0.05837550205473141,0.6023900025336821,0.4497330231124843,0.962012105350647,0.3470452217739099
LPC,Sex:Genotype,1,0.09887999041741535,0.09887999041741535,1.0203649747154429,0.32845024167717085,0.9671134084747728,0.4835304142376201
LPC,Residuals,15,1.4535973823237727,0.09690649215491817,NA,NA,NA,NA
LPE,Sex,1,0.18755851547138702,0.18755851547138702,0.8463318415242862,0.3721506177608235,0.9571769915157455,0.42928125575341
LPE,Genotype,1,0.13183142593919417,0.13183142593919417,0.5948710630678445,0.45252104343180033,0.962012105350647,0.34436122014095927
LPE,Sex:Genotype,1,0.010803988121744545,0.010803988121744545,0.04875150104436341,0.8282274338473943,0.9671134084747728,0.0818503882127577
LPE,Residuals,15,3.3242016831173107,0.22161344554115406,NA,NA,NA,NA
LPI,Sex,1,0.3790025239397643,0.3790025239397643,0.5056002308177235,0.4879601508517414,0.9571769915157455,0.31161564310350665
LPI,Genotype,1,0.02741674996574872,0.02741674996574872,0.03657473033915065,0.8508980769274985,0.962012105350647,0.07012245786950588
LPI,Sex:Genotype,1,0.2560449957779749,0.2560449957779749,0.341571363745435,0.5676104970425814,0.9671134084747728,0.24594958156284544
LPI,Residuals,15,11.244136202038257,0.7496090801358838,NA,NA,NA,NA
PA,Sex,1,4.5482851041001027e-4,4.5482851041001027e-4,0.0029812628742639496,0.9571769915157455,0.9571769915157455,0.019007749442058623
PA,Genotype,1,0.07620338065971666,0.07620338065971666,0.49949003735368463,0.4905582368511353,0.962012105350647,0.3093094277503739
