Lipids,contrast,Sex,estimate_log2,SE,df,t_ratio,p_adj,raw_p,label1,label2,adj_method,Direction
CE(16:0),(4s2-) - 4s2M,M,0.7521904407964807,0.42323192446138863,15,1.777253551356575,0.09580360057215709,0.09580360057215709,(4s2-),4s2M,BH,(4s2-) > 4s2M
CE(18:1),(4s2-) - 4s2M,F,0.3337247107612161,0.2737644606387494,15,1.2190213075231424,0.24166009642402692,0.24166009642402692,(4s2-),4s2M,BH,(4s2-) > 4s2M
CE(18:1),(4s2-) - 4s2M,M,0.5227952247185014,0.40177638608933747,15,1.3012094359429442,0.2128196366217288,0.2128196366217288,(4s2-),4s2M,BH,(4s2-) > 4s2M
PC(38:6) [+OH],(4s2-) - 4s2M,F,-1.087784186491114,0.7577040712854521,15,-1.4356319673004763,0.1716319697875611,0.1716319697875611,(4s2-),4s2M,BH,4s2M > (4s2-)
PC(38:6) [+OH],(4s2-) - 4s2M,M,0.13369502732820587,1.1120055641114042,15,0.1202287395342672,0.905897561114819,0.905897561114819,(4s2-),4s2M,BH,(4s2-) > 4s2M
DG(18:1_20:4),(4s2-) - 4s2M,F,-0.6408720465976865,0.6565993545908424,15,-0.9760473294967579,0.3445204088242335,0.3445204088242335,(4s2-),4s2M,BH,4s2M > (4s2-)
DG(18:1_20:4),(4s2-) - 4s2M,M,0.2915651660110812,0.9636244061065693,15,0.30257137964066505,0.7663718350613196,0.7663718350613196,(4s2-),4s2M,BH,(4s2-) > 4s2M
PC(P-18:1/22:6),(4s2-) - 4s2M,F,-0.17037953483400634,0.13232664749496903,15,-1.2875678335346934,0.21740830218019558,0.21740830218019558,(4s2-),4s2M,BH,4s2M > (4s2-)
PC(P-18:1/22:6),(4s2-) - 4s2M,M,-0.3716726340971436,0.1942024252885114,15,-1.913841361893285,0.07491792727613623,0.07491792727613623,(4s2-),4s2M,BH,4s2M > (4s2-)
FA(22:6),(4s2-) - 4s2M,F,-0.020467581899474507,0.3234425307827023,15,-0.06328042836526405,0.950378772385921,0.950378772385921,(4s2-),4s2M,BH,4s2M > (4s2-)
FA(22:6),(4s2-) - 4s2M,M,1.1337182286991454,0.4746838607986566,15,2.388364809352612,0.0305105286854975,0.0305105286854975,(4s2-),4s2M,BH,(4s2-) > 4s2M
AC(14:1),(4s2-) - 4s2M,F,0.13042083354783093,0.30379321175314467,15,0.42930792559580916,0.6738016312781729,0.6738016312781729,(4s2-),4s2M,BH,(4s2-) > 4s2M
