Lipids,term,df,sumsq,meansq,statistic,p.value,p_adj_BH,neglog10_p
CE(18:0),Sex,1,0.8268758425936715,0.8268758425936715,2.1416519416360886,0.1639866557788154,0.9670019386214893,0.7851914907170162
CE(18:0),Genotype,1,0.7300578036439687,0.7300578036439687,1.8908881262951653,0.1892937067886552,0.9950854656182027,0.7228638242421837
CE(18:0),Sex:Genotype,1,0.6718414274875677,0.6718414274875677,1.7401046487669187,0.20690908800342162,0.9978701881834164,0.6842204335340832
CE(18:0),Residuals,15,5.791388132578559,0.386092542171904,NA,NA,NA,NA
CE(18:1),Sex,1,1.1988923810419996,1.1988923810419996,4.951310078679946,0.04183477159933878,0.9670019386214893,1.3784625977411973
CE(18:1),Genotype,1,0.7331705377259832,0.7331705377259832,3.0279237154537273,0.10231228911368309,0.9950854656182027,0.9900721984118087
CE(18:1),Sex:Genotype,1,0.03661955337607381,0.03661955337607381,0.15123522892865954,0.7028223843910295,0.9978701881834164,0.1531544149873671
CE(18:1),Residuals,15,3.632045949427689,0.2421363966285126,NA,NA,NA,NA
CE(18:2),Sex,1,0.897329421057818,0.897329421057818,4.279190878204806,0.05627406161354554,0.9670019386214893,1.2496917382547093
CE(18:2),Genotype,1,1.0155244866249475,1.0155244866249475,4.84284034132777,0.04384153586826946,0.9950854656182027,1.3581142399381347
CE(18:2),Sex:Genotype,1,0.004522628885463842,0.004522628885463842,0.02156754455834949,0.8851990221752087,0.9978701881834164,0.052959074482856555
CE(18:2),Residuals,15,3.1454407384402416,0.20969604922934945,NA,NA,NA,NA
CE(20:1),Sex,1,0.9111514753047982,0.9111514753047982,8.740664944201942,0.009803816132303874,0.45969004531469276,2.0086048424092122
CE(20:1),Genotype,1,0.5564683469500384,0.5564683469500384,5.33819403751405,0.0354993321354253,0.9950854656182027,1.4497798174414651
CE(20:1),Sex:Genotype,1,0.35579992778285496,0.35579992778285496,3.413184349924748,0.08449476692552838,0.9978701881834164,1.0731701876863218
CE(20:1),Residuals,15,1.5636421504336533,0.10424281002891021,NA,NA,NA,NA
CE(20:2),Sex,1,1.3438203198827101,1.3438203198827101,8.80783911541338,0.0095803745878586,0.45969004531469276,2.0186175098922745
CE(20:2),Genotype,1,0.447759887360478,0.447759887360478,2.934765155620601,0.10727727820855397,0.9950854656182027,0.9694922537433434
CE(20:2),Sex:Genotype,1,0.3881636918109459,0.3881636918109459,2.5441521439518917,0.1315524217590751,0.9978701881834164,0.8809011525427646
CE(20:2),Residuals,15,2.288564145428831,0.15257094302858873,NA,NA,NA,NA
CE(20:3),Sex,1,1.9703379626392348,1.9703379626392348,3.5142423428216807,0.08045153886631806,0.9670019386214893,1.0944656443585066
CE(20:3),Genotype,1,0.561473238213857,0.561473238213857,1.0014287221311693,0.33283587545012583,0.9950854656182027,0.4777698684681363
CE(20:3),Sex:Genotype,1,0.9054875180446302,0.9054875180446302,1.6150034345105837,0.22314592662359972,0.9978701881834164,0.65141103650008
CE(20:3),Residuals,15,8.410082901641312,0.5606721934427541,NA,NA,NA,NA
CE(20:4),Sex,1,2.3840724099180823,2.3840724099180823,9.533582977497677,0.007504136563827855,0.45969004531469276,2.1246992710606025
CE(20:4),Genotype,1,0.845310659818372,0.845310659818372,3.380282949299625,0.08586304085884049,0.9950854656182027,1.0661937349477841
CE(20:4),Sex:Genotype,1,0.0029182727446452894,0.0029182727446452894,0.011669777833216783,0.9154062250384856,0.9978701881834164,0.038386138565184656
CE(20:4),Residuals,15,3.7510646556681686,0.25007097704454456,NA,NA,NA,NA
CE(20:5),Sex,1,5.895394319154946,5.895394319154946,16.096146372146737,0.0011313677950780478,0.31105182674351095,2.9463961878184812
CE(20:5),Genotype,1,0.39261789139391734,0.39261789139391734,1.0719613830862411,0.31690702617354305,0.9950854656182027,0.49906813192181165
CE(20:5),Sex:Genotype,1,0.5522514725826753,0.5522514725826753,1.5078076301092105,0.2383946172917248,0.9978701881834164,0.622703554749304
CE(20:5),Residuals,15,5.493918403994371,0.3662612269329581,NA,NA,NA,NA
CE(22:4),Sex,1,2.213282272881864,2.213282272881864,11.156929386223561,0.00447439925271034,0.38867263450136236,2.3492652662132882
CE(22:4),Genotype,1,0.7296224280219801,0.7296224280219801,3.6779519755728476,0.07437888633866159,0.9950854656182027,1.1285503285394933
CE(22:4),Sex:Genotype,1,0.7592329545864,0.7592329545864,3.8272156090532587,0.06931064859000724,0.9978701881834164,1.1592000371254467
CE(22:4),Residuals,15,2.9756605015553803,0.1983773667703587,NA,NA,NA,NA
CE(22:5),Sex,1,6.6524225152085315,6.6524225152085315,6.323209502276196,0.023809275397087836,0.8372928514642555,1.6232538215558456
CE(22:5),Genotype,1,0.46790839748767965,0.46790839748767965,0.4447526924853146,0.5149657548938098,0.9950854656182027,0.2882216504833668
CE(22:5),Sex:Genotype,1,2.38646503737694,2.38646503737694,2.268364399088196,0.15280620900782863,0.9978701881834164,0.8158589986199308
CE(22:5),Residuals,15,15.780963400343989,1.0520642266895992,NA,NA,NA,NA
CE(24:4),Sex,1,0.9498987860086268,0.9498987860086268,3.9600069581542665,0.06514199546154778,0.9670019386214893,1.1861389420458528
CE(24:4),Genotype,1,1.18557120087076,1.18557120087076,4.942495215266947,0.04199379198516456,0.9950854656182027,1.3768149073607145
CE(24:4),Sex:Genotype,1,0.5554341003683514,0.5554341003683514,2.315533964936398,0.14888663757478457,0.9978701881834164,0.8271442779895634
CE(24:4),Residuals,15,3.5980951399061496,0.23987300932707664,NA,NA,NA,NA
CE(24:5),Sex,1,0.8804618610622073,0.8804618610622073,4.211854396756791,0.0580202125892446,0.9670019386214893,1.2364206842516123
CE(24:5),Genotype,1,1.6917117865599711,1.6917117865599711,8.092620522678699,0.012296299228216779,0.9950854656182027,1.910225576902084
CE(24:5),Sex:Genotype,1,1.1698268980263022,1.1698268980263022,5.596086306285017,0.031894946555489495,0.9978701881834164,1.4962781212349645
CE(24:5),Residuals,15,3.1356563337286065,0.2090437555819071,NA,NA,NA,NA
CE(24:6),Sex,1,4.74360932858017,4.74360932858017,15.070470270837417,0.0014741792736659286,0.31105182674351095,2.8314496990891955
CE(24:6),Genotype,1,0.6835204339416112,0.6835204339416112,2.1715477952966604,0.16125960212765633,0.9950854656182027,0.7924744160607667
CE(24:6),Sex:Genotype,1,0.5885247912359723,0.5885247912359723,1.869746169132195,0.1916454930480177,0.9978701881834164,0.7175013896493446
CE(24:6),Residuals,15,4.721427974705713,0.31476186498038083,NA,NA,NA,NA
COH,Sex,1,0.06234312237962669,0.06234312237962669,0.5469611020294052,0.4709788021441931,0.9670019386214893,0.3269986391958953
COH,Genotype,1,0.03051768049497139,0.03051768049497139,0.26774379462851,0.6123954836079675,0.9950854656182027,0.21296802086628247
COH,Sex:Genotype,1,0.006912141336033573,0.006912141336033573,0.06064297549163861,0.8088206259752032,0.9978701881834164,0.09214778220316246
COH,Residuals,15,1.709713601615725,0.11398090677438168,NA,NA,NA,NA
Cer(d16:1/18:0),Sex,1,0.09587946537765468,0.09587946537765468,0.3746020254570408,0.5496720921005663,0.9670019386214893,0.2598963124328584
Cer(d16:1/18:0),Genotype,1,0.08149192232688796,0.08149192232688796,0.31838975156774907,0.5809168558942305,0.9950854656182027,0.23588602184422908
Cer(d16:1/18:0),Sex:Genotype,1,0.0060205702753779455,0.0060205702753779455,0.023522427984758544,0.8801505638992122,0.9978701881834164,0.05544302844374383
Cer(d16:1/18:0),Residuals,15,3.8392530817475556,0.25595020544983704,NA,NA,NA,NA
Cer(d16:1/20:0),Sex,1,0.03591288260984893,0.03591288260984893,0.09592363548460481,0.7610383818065916,0.9670019386214893,0.11859343969925215
Cer(d16:1/20:0),Genotype,1,0.12256750698089469,0.12256750698089469,0.3273789238702817,0.5756821463231766,0.9950854656182027,0.2398172391458018
Cer(d16:1/20:0),Sex:Genotype,1,0.34183016020685475,0.34183016020685475,0.9130314612042314,0.35445846575866913,0.9978701881834164,0.45043464665468047
Cer(d16:1/20:0),Residuals,15,5.6158551166901,0.37439034111267333,NA,NA,NA,NA
Cer(d17:1/20:0),Sex,1,0.00648291495655684,0.00648291495655684,0.035765895465774585,0.8525348935993575,0.9685989507431776,0.06928783663161987
Cer(d17:1/20:0),Genotype,1,0.15782644151749503,0.15782644151749503,0.870720045978814,0.36553412002574426,0.9950854656182027,0.43707207849463686
Cer(d17:1/20:0),Sex:Genotype,1,7.976287535398363e-4,7.976287535398363e-4,0.004400475219985518,0.9479863503431211,0.9978701881834164,0.02319791584056177
Cer(d17:1/20:0),Residuals,15,2.7188952794823193,0.18125968529882128,NA,NA,NA,NA
Cer(d17:1/23:0),Sex,1,0.16106946851113868,0.16106946851113868,0.671547861077312,0.42534232279192286,0.9670019386214893,0.37126140157823795
Cer(d17:1/23:0),Genotype,1,0.09775434813521233,0.09775434813521233,0.40756776568533226,0.5328333636915252,0.9950854656182027,0.2734085893680179
Cer(d17:1/23:0),Sex:Genotype,1,0.003354235109430004,0.003354235109430004,0.013984831725774088,0.9074327395746484,0.9978701881834164,0.04218555572890953
Cer(d17:1/23:0),Residuals,15,3.597721276025229,0.2398480850683486,NA,NA,NA,NA
Cer(d17:1/24:0),Sex,1,0.1498175603366274,0.1498175603366274,0.7594312867674218,0.39724049561089425,0.9670019386214893,0.4009464849402729
Cer(d17:1/24:0),Genotype,1,0.05203923994035131,0.05203923994035131,0.26378901686491885,0.6150108589358404,0.9950854656182027,0.21111721603876085
Cer(d17:1/24:0),Sex:Genotype,1,0.24295996764453331,0.24295996764453331,1.2315739252907174,0.2845760983998153,0.9978701881834164,0.545801579195444
Cer(d17:1/24:0),Residuals,15,2.9591398777038305,0.19727599184692204,NA,NA,NA,NA
Cer(d18:1/16:0),Sex,1,0.002071817408948018,0.002071817408948018,0.013103009088570034,0.9103846871463726,0.9685989507431776,0.04077505580814494
Cer(d18:1/16:0),Genotype,1,0.0058724191841466045,0.0058724191841466045,0.03713954792031414,0.8497661945215982,0.9950854656182027,0.07070055004663994
Cer(d18:1/16:0),Sex:Genotype,1,0.02075358845642228,0.02075358845642228,0.13125406562879505,0.7221888704452686,0.9978701881834164,0.1413492087109783
Cer(d18:1/16:0),Residuals,15,2.3717652124144113,0.15811768082762742,NA,NA,NA,NA
Cer(d18:1/18:0),Sex,1,0.05395020612133106,0.05395020612133106,0.29833935357272534,0.5929572195651374,0.9670019386214893,0.22697663880606497
Cer(d18:1/18:0),Genotype,1,0.021008065027367184,0.021008065027367184,0.11617254113882657,0.7379503749517277,0.9950854656182027,0.13197284225455175
Cer(d18:1/18:0),Sex:Genotype,1,0.02193871332321473,0.02193871332321473,0.1213189350258545,0.7324485988260883,0.9978701881834164,0.13522284746459162
Cer(d18:1/18:0),Residuals,15,2.7125254584380416,0.1808350305625361,NA,NA,NA,NA
Cer(d18:1/20:0),Sex,1,0.016093815790030108,0.016093815790030108,0.12846912500659546,0.7250190241293484,0.9670019386214893,0.13965059761383147
Cer(d18:1/20:0),Genotype,1,0.0017550712815164182,0.0017550712815164182,0.014009882727767733,0.9073502804591712,0.9950854656182027,0.04222502219786333
Cer(d18:1/20:0),Sex:Genotype,1,1.7969041655274687e-4,1.7969041655274687e-4,0.0014343814349424002,0.9702882145586404,0.9978701881834164,0.013099243671565468
Cer(d18:1/20:0),Residuals,15,1.8791070371037248,0.12527380247358166,NA,NA,NA,NA
Cer(d18:1/21:0),Sex,1,0.0014893421290427256,0.0014893421290427256,0.02059281886957038,0.8878038115692326,0.9685989507431776,0.05168299476916568
Cer(d18:1/21:0),Genotype,1,8.695573755841401e-4,8.695573755841401e-4,0.012023186065120353,0.9141402403324363,0.9950854656182027,0.038987173051239714
Cer(d18:1/21:0),Sex:Genotype,1,0.022724166086946385,0.022724166086946385,0.3142022420941645,0.5833890876427492,0.9978701881834164,0.23404169866451188
Cer(d18:1/21:0),Residuals,15,1.0848506014226384,0.0723233734281759,NA,NA,NA,NA
Cer(d18:1/22:0),Sex,1,0.0378877999714462,0.0378877999714462,0.3652390920715312,0.5546426296368301,0.9670019386214893,0.25598675375465924
Cer(d18:1/22:0),Genotype,1,8.128057118113041e-4,8.128057118113041e-4,0.007835462086377346,0.9306358717892175,0.9950854656182027,0.031220211398860435
Cer(d18:1/22:0),Sex:Genotype,1,0.003956315034757685,0.003956315034757685,0.03813895006658759,0.8477851256776354,0.9978701881834164,0.07171420736297741
Cer(d18:1/22:0),Residuals,15,1.5560136138450082,0.10373424092300056,NA,NA,NA,NA
Cer(d18:1/23:0),Sex,1,0.08580739628693546,0.08580739628693546,1.1012649463554027,0.31060334062575917,0.9670019386214893,0.5077938776237793
Cer(d18:1/23:0),Genotype,1,0.016659181599361084,0.016659181599361084,0.21380642606840852,0.6504363588026449,0.9950854656182027,0.18679519006771858
