"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Usp42",413.27121868295,-0.310866600271778,0.0798840611574177,-3.89147216312891,9.96378220803559e-05,0.070595048624468
"Ly6c1",2049.89060003952,0.479514798675854,0.123326832769884,3.8881627615507,0.000101005887734038,0.070595048624468
"A230070E04Rik",356.661625345709,-0.407793745845161,0.105303098463718,-3.87257119490805,0.000107693203295808,0.070595048624468
"Pla2g7",3558.8542005699,0.309822193137874,0.0808954574200892,3.82990841536343,0.000128190960000989,0.0772311175960623
"F11r",566.245387878474,0.359725098536912,0.0940982763644693,3.82286596986745,0.000131909488864543,0.0772311175960623
"Lrguk",89.9981898355833,-0.435566154538062,0.113939581434996,-3.82278176777889,0.000131954557767253,0.0772311175960623
"Zfp318",918.286405029255,-0.237929172415326,0.0627489757465277,-3.79176185084571,0.000149582320291001,0.0817468187762441
"Ddx46",1097.77433753844,-0.281342074254328,0.074324433654958,-3.78532415814191,0.000153508347931837,0.0817468187762441
"Gpm6b",25612.2446428561,0.233692434398733,0.0617661058825913,3.78350603554236,0.000154634572984108,0.0817468187762441
"Wfdc1",163.272451432732,0.419315493281634,0.111461107961689,3.76198927993573,0.000168567274546237,0.0863275154769919
"Gucy1a2",147.349070709194,-0.562167356312095,0.150933208354901,-3.72461012681999,0.000195617304174386,0.0900520859170845
"Heatr1",444.341895192668,-0.310283394619146,0.0831647054883629,-3.73095044102048,0.000190758749845733,0.0900520859170845
"Xkr4",510.598177880491,-0.486364016386898,0.130182437254848,-3.73601867227897,0.00018695679183569,0.0900520859170845
"A830008E24Rik",32.6461630489451,0.768108247427446,0.206381726396021,3.72178419495116,0.000197820056932819,0.0900520859170845
"Bmpr1b",813.653590158665,0.331231159962379,0.0892648041875346,3.71065800207776,0.000206721224193378,0.0915607411373263
"Edc4",1119.25933668914,-0.307656501280947,0.0830874186041742,-3.70280490656007,0.000213228854703621,0.0919577492337614
"Map3k13",420.439904959798,-0.379226058010462,0.102948030185561,-3.68366502328328,0.000229904326516734,0.0966069769988781
"Naaa",1285.4546344949,0.333148184546945,0.0909066606752432,3.66472799762264,0.00024760158473835,0.0989681651388311
"Kctd16",220.171341779127,-0.621405173219831,0.169387755458293,-3.6685365570762,0.000243942817245335,0.0989681651388311
"Slc25a18",2773.41701205264,0.285862575036936,0.0785022624649224,3.64145651425868,0.000271099922300417,0.102503508179376
"Dgcr8",648.508453024631,-0.240279790742728,0.0661602130067195,-3.63178683717848,0.000281465576523793,0.102503508179376
"Ncoa3",874.525949174594,-0.284485662513795,0.0782179332978183,-3.63708999355177,0.000275735613251587,0.102503508179376
"Ppip5k1",2228.66609836776,-0.200272760024171,0.0549063059304143,-3.64753659220833,0.000264766613618814,0.102503508179376
"Cul4b",699.586395471033,-0.25949114584288,0.0717340826437789,-3.61740383760779,0.000297572831482623,0.106013555702983
"Hepacam",3966.02575751144,0.250102805608153,0.0697343395050112,3.58650856068093,0.000335135067239865,0.114420697540144
"Tmppe",126.006489068546,-0.475413069555202,0.13241004967695,-3.59046062376005,0.000330094097044746,0.114420697540144
"Arsk",240.594910197659,0.315056971431768,0.088868949118459,3.54518619334419,0.000392335839629372,0.121111636138657
"Csrp1",9921.74854063382,0.290421674378409,0.0820123487702201,3.54119445099791,0.000398319907494078,0.121111636138657
"Nadk",2353.23719333468,0.174048969333206,0.0492904713199666,3.53108754435266,0.000413854748826261,0.121111636138657
"Pglyrp1",793.506739784763,0.446140101042515,0.12606698416393,3.53891309450523,0.000401778100808152,0.121111636138657
"Ino80d",641.879393854079,-0.286180161545255,0.0809990859608088,-3.5331282834935,0.000410673146881837,0.121111636138657
"Mier2",703.864020279354,-0.194991317222291,0.0549731510286072,-3.5470282051109,0.000389602878308135,0.121111636138657
"Zfp169",156.295132528119,-0.353756871494289,0.0998968395343726,-3.54122185589833,0.000398278535334589,0.121111636138657
"Cst7",51.6324955061994,0.656117198004615,0.184995390642437,3.54666781548506,0.000390136178418815,0.121111636138657
"Tnik",2580.45781171355,-0.324314793565105,0.0921940365548207,-3.51774155557512,0.000435236025175122,0.122320452058678
"Lyve1",41.9560598809775,0.723101049447107,0.20574067388813,3.5146237045976,0.000440377512293264,0.122320452058678
"Ubash3b",736.582344576227,-0.267127411706052,0.0758310342234557,-3.52266607519676,0.000427229276924753,0.122320452058678
"Lypd6",633.80335179895,0.242630245534995,0.0691315169838751,3.50969074773216,0.000448628144320736,0.12253530048547
